name,fileorder,number,parkprop,borough,parkname,parknumber,commboard,council,Location,extant,dedicated,cast,descrip,dimen,sponsor,materials,foundry,fabricator,sculptor,architect,donor,maintain,contractor,created,Name2,Name3,MaintainedByParks,Installation,Rededication,Cost,Categories,inscribed
Pelham Parkway Fountain,,1170,Y,the Bronx,Pelham Parkway,X003,11,13,"Bronx and Pelham Parkway, south side",N,1909,,Fountain,,,Rustic stone,,,Martin Schenck (engineer),,,,,07/01/1993,,,,,,,,
Pelicans,,1172,O,the Bronx,Bronx Park,X002,14,12,Bronx Zoo; Birdhouse,Y,,,4 sculptures,,,Indiana limestone,,,,,,,,07/01/1993,,,,,,,,
Pell Graves,,1173,Y,the Bronx,Pelham Bay Park,X039,0,13,"Bartow-Pell Mansion, Shore Road",Y,,,"4 granite posts, 7 gravestones","Posts H: 30"" W: 12"" D:12""",,"Marble, limestone, sandstone, native marble, granite",,,,,,,,07/01/1993,,,,,,,,"GRAVESTONES: 1 MARBLE, 1 LIMESTONE, 3 SANDSTONE, 2 NATIVE MARBLE  POSTS: POLISHED GRANITE WITH PELICAN ON ONE FACE AND INSCRIPTIONS ON OTHER FACES:  POST #1: INDIAN GRANT / OF / PELHAM MANOR / TO/ THOMAS PELL / NOV. 14, 1654/  POST #2: ROYAL PATENT / OCT. 6, 1666. / DUKE OF YORK / TO / THOMAS PELL / 1ST LORD OF THE MANOR/  POST #3: ROYAL PATENT / OCT. 25, 1687. / JAMES II / TO / JOHN PELL/ 2ND LORD OF THE MANOR / FIRST JUDGE (1688) / AND FIRST MEMBER/ PROVINCIAL ASSEMBLY / (1691) / OF WESTCHESTER CO./  POST #4: PELHAM BAY PARK / 1884/- / ERECTED 1891 / BY DESCENDANTS OF / BENJAMIN PELL / GRANDSON OF / THOMAS PELL / 3RD. LORD OF THE MANOR / (LAWS S.N.Y. CHAP. 474, 1890.)   NO BODIES WERE FOUND.   GRAVESTONES WERE SCATTERED ABOUT AND CONSOLIDATED BY THE INTERNATIONAL GARDEN CLUB. "
Penguins,Penguins,1174,O,Manhattan,Central Park,M010,7,8,"Central Park Zoo; Gallery, north end of west façade",Y,1935,1935,Bas-relief,,,Indiana limestone,,,J. Walter,Aymer Embury II,,,,07/01/1993,,,,,,,,[signed] WALTER
Penitentiary Workshop Tablet,,1175,O,Manhattan,,,8,5,Roosevelt Island,Y,1875,,"Tablet, incised letters",,,Stone,,,,,,,,07/01/1993,,,,,,,,PENITENTIARY WORKSHOP TABLET / ERECTED 1875 / ISAAC H. BAILEY/ THOMAS S. BRENNAN / TOWNSEND COX/COMMISSIONERS / JOHN M. FOX  WARDEN
Persian Philosophy,,1176,O,Brooklyn,Brooklyn Institute of Arts and Sciences,B048,9,35,BROOKLYN MUSEUM; eastern parkway,Y,1909,,,,,indiana limestone,,,edmond t. quinn,,purchase. $3000.,,,07/01/1993,,,,,,,,
Pete McArdle Memorial,,993,Y,the Bronx,Van Cortlandt Park,X092,0,11,Broadway and 252nd Street,Y,"June 22, 1986",,"2 vertical poles on separate bases, 3 granite markers",H: 15',,"Aluminum, granite",,,,"Al Puma, S. Puma Inc.",Pete McArdle Memorial Committee,,,07/01/1993,,,Y         ,,,, Athlete,
Peter & Willie,Peter and Willie,1915,Y,Brooklyn,Prospect Park,B073,0,39,"Imagination Playground, Ocean Avenue and Lincoln Road",Y,"June 20, 1997",1997,"Two figures and chair on a natural boulder, mosaic play surface",boulder = approx. w. 9' x d. 4',,Figures--bronze; boulder--basalt; play surface--ceramic,"Bedi-Makky Art Foundry, 227 India Street Greenpoint, Brooklyn",,Otto Neals,,Ezra Jack Keats Foundation (sculpture only),,,05/05/1998,,,Y         ,,,"$800,000 (entire playground);",,
Peter Caesar Alberti Marker,"Alberti, Peter Caesar",12,Y,Manhattan,Battery Park,M005,1,1,Perimeter of park on Battery Place between Greenwich and Washington Streets,Y,"Original: June 2, 1958; rededicated ca. 1985",ca. 1985 (replica),Marker on plinth,"Front H: 4""; Rear H: 1'2"" W: 1'8"" D: 1'4"" (all approximate)",,Granite,,A. Ottavino Corp.,,,Italian Historical Society of America (original),,,07/01/1993,,,Y         ,,,, Immigration,"PETER CAESAR ALBERTI / FIRST ITALIAN SETTLER / LANDED IN N.Y. JUNE 2, 1635 / THROUGH THE EFFORTS OF / JOHN N. LACORTE FOUNDER OF / THE ITALIAN HISTORICAL SOCIETY / OF AMERICA / JUNE 2, HAS BEEN PROCLAIMED / ""ALBERTI DAY""  Original version: THE CITY OF VENICE IS PROUD TO JOIN THE / ITALIAN HISTORICAL SOCIETY OF AMERICA / IN PARTICIPATING IN THE COMMEMORATION OF / NEW YORK STATE'S ""YEAR OF HISTORY"" / BY CONTRIBUTING THIS BRONZE PLAQUE / HONORING THE NAME OF THE / FIRST ITALIAN IMMIGRANT / PETER CAESAR ALBERTI / NATIVE OF VENICE, WHO, IN THE YEAR 1635 / SETTLED IN WHAT IS TODAY KNOWN AS / NEW YORK CITY, / IN THE WALL STREET AREA, AND LATER / IN THE FORT GREENE AREA OF BROOKLYN. / PLACED TODAY, JUNE 2, 1959 / BY THE / ITALIAN HISTORICAL SOCIETY OF AMERICAN /"
Peter Chappetto Flagstaff,"chapetto, peter flagstaff",228,Y,Queens,Peter Chappetto Memorial Square,Q066H,1,22,"Hoyt Ave, 21st and 23rd Streets, Astoria",Y,1949,,Tablet attached to base of flagstaff,"Tablet H: 8"" W: 10""; Base H: 48"" W: 27"" D: 27""",,"Bronze,  cast stone",,,,,Friends,,,07/01/1993,,,Y         ,,,, World War II,"PETER CHAPPETTO / MEMORIAL SQUARE / DEDICATED TO / A GREAT SPORTSMAN / WHO LOVED / GOD AND HIS FELLOW MEN / AND WHO MADE THE SUPREME / SACRIFICE FOR HIS COUNTRY / ERECTED BY HIS FRIENDS NOV. 11, 1949. /"
Peter Cooper,"Cooper, Peter",328,Y,Manhattan,Cooper Park,M016,3,2,Bowery & 7th Street; Not presently accessible; under construction.,Y,"May 29, 1897",1894,"Seated figure (over life-size), on pedestal, under a canopy",,MAS/CU,Figure--bronze; Pedestal and canopy--marble and granite,Lorne and Aubry,,Augustus Saint-Gaudens,Stanford White,Public subscription,,,07/01/1993,,,Y         ,,,," Sculpture, Business Leader, Civic Leader, Philanthropy","1) ""PETER COOPER / BORN / FEBRUARY XII  AD / M-D-C-C-XCI / DIED / APRIL III  AD /  M-D-C-C-CLXXXIII /  ERECTED BY THE /  CITIZENS OF NEW YORK IN  / GREATFUL REMEMBRANCE / OF / PETER COOPER / FOUNDER OF THE / COOPER UNION /  FOR THE ADVANCEMENT / OF SCIENCE AND ART / ANNO DOMINI  M-D-C-C-C-XCVII""  2) [on sculpture base] ""AUGUSTUS SAINT-GAUDENS / FECIT MD CCC XCIV [---] CAST BY LORNE & AUBRY"""
Peter Minuit,,1043,Y,Manhattan,,,0,0,,M,,,,,,,,,,,,,,07/01/1993,,,,,,,,
Peter the Fisherman Fountain,,1178,N,Manhattan,,,7,6,FORHAM UNIVERSITY; robert moses plaza,Y,,,"rect. displ. fntn. statue, plaque",see memo,,"polished pink gran., bronze",,,Frederic Shrady,,fordham university,,,07/01/1993,,,,,,,,"SIZES: STATUE: 15'H        PLAQUE: 12 1/8""H X 18 1/8""W X 3/4""D        POOL: 46'W X 56 1/2""L PETER THE FISHERMAN / BY / FREDERIC SHRADY / DONATED BY / MR. & MRS. WILLIAM T. BRADY / IN HONOR OF / LAURENCE J. MCGINLEY, S.J./ PRESIDENT, FORDHAM UNIVERSITY, 1949-1963 "
Petroglyph,,1179,O,the Bronx,Bronx Park,X002,14,12,New York Botanical Garden; along Bronx River,Y,c. 1000 ad to 1600 ad,,Petroglyph on boulder; Native American rock carving,H: 3' W: 3' D: 3',,Granite,,,Muncie Speaking Delaware Indians,,,,,07/01/1993,,,,,,,,
Philip H. Sheridan,,1438,O,Manhattan,Riverside Park,M071,0,9,"GRANTS TOMB, Riverside Drive at 122nd St.",Y,1938,,bust (1 of 5 in indvid. bays in crypt),"2'6""h",,bronze,,,a.w. mues,,wpa,,,07/01/1993,,,,,,,,
Philip Hone,"Hone, Philip",738,N,Manhattan,,,1,1,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, chief cornice, fifth from left",Y,1906,ca. 1906,standing figure (heroic scale),,,Westerly granite,,,Philip Martiny,Horgan and Slattery,"$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,07/01/1993,,,,,,,,
Phillip Mazzei Flagstaff,,991,Y,the Bronx,Pelham Parkway Houses Playground,X157,11,13,Mace Avenue and Williamsbridge Road; Philip Mazzei Playground,Y,"May 1, 1981",,Flagstaff on base,"Diameter: 48""",,"Steel, granite",,,,,Columbus ESCA Alliance Inc,,,07/01/1993,,,Y         ,,,," Revolutionary War, War Memorial, Revolutionary War","DEDICATED TO THE MEMORY OF / PHILIP MAZZEI / DIPLOMAT AND  WRITER WHOSE WORDS / ""ALL MEN ARE CREATED EQUAL"" / WERE INTEGRATED INTO THE / DECLARATION OF INDEPENDENCE. /  COLUMBUS ESCA ALLIANCE INC. / BRONX COUNTY / MAY 1981/  "
Philosophy,Philosophy,1180,N,Manhattan,,,1,1,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, beside center window in attic",Y,1903,ca. 1903,half-reclining male figure (heroic scale),,,Westerly granite,,,Henry Kirke Bush-Brown,Horgan and Slattery,"$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,07/01/1993,,,,,,,,
Philosophy,,1181,O,Manhattan,Bryant Park,M008,5,3,New York Public Library; 42nd St. and 5th Avenue,Y,1915,,statue,,,,,,Paul Wayland Bartlett,,purchase,,,07/01/1993,,,,,,,,
"Physicians, Surgeons and Nurses",,1182,Y,Manhattan,Riverside Park,M071,9,6,NOT LOCATED 3/9/06 by J&V; Riverside Drive at 121st Street,M,1956,,Tablet on plinth,"H: 2' W: 1'10""",,Bronze,,,,,"Daughters of the Defenders of the Republic, U.S.A.",,,07/01/1993,,,,,,," War Memorial, Physician","MEMORIAL TO / PHYSICIANS, SURGEONS / AND NURSES / 1776-1955 / THE LONDON PLANE TREES/IN THE CENTER OF THIS TRIANGLE ARE / PLANTED TO HONOR THE MEMORY / OF PHYSICIANS, SURGEONS AND / NURSES WHO, THROUGH COURAGE, / SKILL AND PATRIOTIC DEVOTION / RENDERED SERVICE TO THE SICK / AND WOUNDED DEFENDERS OF  / THIS REPUBLIC WHILE IN ARMS. / THEY MERIT EVERLASTING GRATITUDE / OF THIS GREAT NATION UNDER GOD. / PRESENTED TO / THE CITY OF NEW YORK / SEPTEMBER 17, 1956 / BY THE DAUGHTERS OF THE DEFENDERS OF THE REPUBLIC / (SHIELD) AMANDA SHAW HIRSCH / FOUNDER, PRESIDENT GENERAL/  "
Pier A Clock Tower,Pier A Clock Tower,1183,Y,Manhattan,Pier A,MZ004,1,1,,M,1918,ca. 1918,Clock tower rising from three-story building,H: 70',,"Wood, etc.",,,,,Daniel Reed (U.S. Steel executive),,,07/01/1993,,,,,,, World War I,
Pilgrim,,1184,Y,Manhattan,Central Park,M010,7,8,East 72nd St. entrance,Y,"June 6, 1885",,"Statue, pedestal with sculptural panel","Statue H: 9'; Pedestal H: 16'7 ½"" W: 5'10"" D: 5'10""",CPC,"Bronze, Quincy granite","H. Bonnard, NYC",,John Quincey Adams Ward,Richard Morris Hunt,New England Society,,,07/01/1993,,,Y         ,,,,,"TO COMMEMORATE / THE LANDING OF THE / PILGRIM FATHERS / ON / PLYMOUTH ROCK / DECEMBER 21, 1620/  /ERECTED BY THE / NEW ENGLAND SOCIETY / IN THE CITY OF NEW YORK/ 1885/  "
Pinetum,,1185,Y,Manhattan,Central Park,M010,7,8,Back of 86th Street shop,Y,1973,,Plaque recessed in boulder,"H: 10"" W: 14""",,"Bronze, Manhattan schist",Bronze Arts & Crafts Co.,,,,Arthur Ross,,,07/01/1993,,,Y         ,,,,,"THIS PINETUM / A GIFT TO THE CITY / FROM / AN INTERESTED CITIZEN/ MAY, 1973/ "
Pleasant Plains Memorial,Pleasant Plains Memorial,1187,Y,Staten Island,Pleasant Plains Memorial Park,R002,3,51,Amboy and Bloomingdale Roads,Y,"June 8, 1997",1996,"Female figure atop ball on integral plinth fronted by eagle rampant and backed by wreathed helmet, pedestal, base, four plaques","Sculpture total H: 10'7""; Pedestal H: 4'8"" L: 3'1"" W: 3'1""; Base H: 9"" L: 5'8"" W: 5'8""; Each plaque H: 2'3½"" W: 1'9""; Sculpture weight: 800 pounds (approximate)",,Figure and plaques--bronze; Pedestal and base--black granite (polished),Gorham Company (original figure and plaques); Modern Art Foundry (replacement figure),,George Thomas Brewster (original figure); Diane and Glenn Hines (replacement figure),,Citizens of the Fifth Ward (original); City of New York (replacement),,,07/01/1993,,,Y         ,,,"$8,500 (orig.); $216,000 (replacement)"," World War I, War Memorial","Bronze plaque, front: IN MEMORIAM / TO THE SOLDIERS AND SAILORS OF THE / FIFTH WARD WHO MADE THE / SUPREME SACRIFICE. / HEROIC DEAD: / GEORGE C. ANDROVETTE --- PHILIP P. GLISMANN / WALTON U. BEAUVAIS --- ALONZO HERBSTREET / MARTIN O. BROWN --- CLARENCE KLINGER / THOMAS CAVALLO --- PETER MASSEY / MARTIN L. DIETZ --- JOHN W. O'MEARA JR. / JOHN L. GARDNER --- ALMER G. RUSSELL / ELWOOD LAFORGE SMITH. / ERECTED BY THE CITIZENS OF THE FIFTH WARD / IN HONOR OF THE SOLDIERS AND SAILORS / WHO SERVED THEIR COUNTRY IN THE / WORLD WAR OF 1914-1918. /  Bronze plaques on three sides: [Listing the 480 names of soldiers and sailors from the Fifth Ward who served in World War I and survived]  Integral plinth, rear left:  MODERN ART FOUNDRY 1996 / MA CAST 96  Integral plinth, proper right:  DIANE AND GLENN HINES, SC 1996 AFTER ORIGINAL BY GEORGE THOMAS BREWSTER, 1923 /"
Ponies,Ponies,1207,O,Manhattan,Central Park,M010,7,8,"Central Park Zoo; Central Park Wildlife Center, west side of south façade",Y,1935,1935,Bas-relief,,,Indiana limestone,,,Frederick George Richard Roth,Aymar Embury II,,,,07/01/1993,,,,,,,,[signed] F•G•R•ROTH
Port Richmond High School Plaque,,1209,N,Staten Island,,,0,3,,Y,,,,,,,,,,,,,,07/01/1993,,,,,,,,
Poe Actors Monument,,1188,N,the Bronx,,,5,4,BRONX COMMUNITY COLLEGE; grand concourse - poe center,Y,,,"cenotaph on plinth, figure, bas relief",,,"white marble, bronze",,,richard henry park,,property of met. mus. in storage,,,07/01/1993,,,,,,,,"THIS MEMORIAL EXPRESSING A DEEP AND PERSONAL / SYMPATHY BETWEEN THE STAGE AND THE LITERATURE OF AMERICA, WAS PLACED HERE BY THE ACTORS OF NEW YORK, / TO COMMEMORATE THE AMERICAN POET / EDGAR ALLAN POE / WHOSE PARENTS - DAVID POE JR., AND ELIZABETH/ARNOLD HIS WIFE-WERE ACTORS, AND WHOSE RENOWN / SHOULD, THEREFORE, BE CHERISHED, WITH PECULIAR REVERANCE / AND PRIDE, BY THE DRAMATIC PROFESSION OF HIS COUNTRY. /  HE WAS BORN IN BOSTON, THE 19TH OF JANUARY, 1809: HE DIED IN BALTIMORE, THE 7TH OF OCTOBER, 1849/ HE WAS GREAT IN HIS GENIUS; UNHAPPY IN HIS LIFE, - / WRETCHED IN HIS DEATH. BUT IN FAME HE IS IMMORTAL. /    / ""SAEPIUS VENTIS AGITATUR INGENS / PINUS, ET CELSAE GRAVIORE CASU / DECIDUNT TURRES, FERIUNTQUE SUMMOS / FULGURA MONTES.""  B.H. PARK, SC "
Poe Cottage Landmarks Tablet,,1189,Y,the Bronx,Poe Park,X040,7,15,"Grand Concourse, Kingsbridge, 192nd and 194th Streets",M,1958,,Tablet,"H: 15"" W: 23""",,Aluminum,,,,,New York Community Trust,,,07/01/1993,,,,,,,,"LANDMARKS OF NEW YORK / POE COTTAGE / BUILT BY JOHN WHEELER ABOUT 1812 AS A / FARMHOUSE ON THE EAST SIDE OF KINGSBRIDGE / ROAD, THIS COTTAGE WAS THE HOME OF EDGAR / ALLAN POE FROM 1846 TO 1849. HERE HIS YOUNG / WIFE VIRGINIA DIED AND HERE HE WROTE ""EUREKA"" ULALUME, ""THE BELLS"" AND ""ANNABEL LEE"". THE CITY ACQUIRED THE COTTAGE IN 1912 AND MOVED IT / TO THIS SITE IN 1913. /  PLAQUE ERECTED 1958 BY / THE NEW YORK COMMUNITY TRUST/  "
poe cottage original site tablet,,1190,N,the Bronx,,,7,15,249 KINGSBRIDGE RD.; to left of window,Y,1919,,plaque on wall,"16""h x 27 ½""w",,bronze,,,,,,,,07/01/1993,,,,,,,,"AQUISITION: APPLETON MORGAN, ALBERT R. FREY, OTTO H. KAHN, NATHAN D. BILL  NEAR THIS SITE / STOOD THE COTTAGE OCCUPIED AS HIS RESIDENCE / FROM APRIL 1846 TO OCTOBER 1847 BY / EDGAR ALLAN POE / IN WHICH DIED HIS WIFE VIRGINIA AND IN WHICH / HE WROTE ANNABEL LEE. /  BY THE INSTANCE AND ENDEAVORS OF THE NEW YORK SHAKESPEARE / SOCIETY IN AND ABOUT THE YEAR 1895-6 THE COTTAGE WAS RESCUED FROM/ DEMOLITION AND POE PARK INCORPORATED BY THE LEGISLATURE OF THE/ STATE OF NEW YORK.  TO WHICH IN 1913. THE COTTAGE WAS REMOVED BY THE / DEPARTMENT OF PARKS. BOROUGH OF THE BRONX OF THE CITY OF NEW YORK / TO COMMEMORATE THESE EVENTS THIS TABLET IS PLACED HERE A.D. 1919 BY / APPLETON MORGAN / ALBERT R. FREY / OTTO H. KAHN / NATHAN D. BILL / DONORS/  "
"poe, edgar allan",,1192,N,Manhattan,,,7,6,84TH ST. W. OF BROADWAY; nw corner of building,Y,,,tablet,,,,,,,,,,,07/01/1993,,,,,,,,
"poe, edgar allan",,1193,N,Manhattan,,,9,7,CCNY HALL OF PATRIOTS; convent Avenue and 137th st.,Y,1885,,bust,,,,,,richard henry park,,actors of new york,,,07/01/1993,,,,,,,,
Poetry,Poetry,1196,N,Manhattan,,,1,1,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, beside center window in attic",Y,1903,ca. 1903,half-reclining male figure (heroic scale),,,Westerly granite,,,Henry Kirke Bush-Brown,Horgan and Slattery,"$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,07/01/1993,,,,,,,,
Poetry,,1197,O,Manhattan,Bryant Park,M008,5,3,New York Public Library; 42nd St. and 5th Avenue,Y,1915,,statue,,,,,,Paul Wayland Bartlett,,purchase  $4200.,,,07/01/1993,,,,,,,,
Police Boulder,,1198,Y,Staten Island,,,0,0,,M,,,,,,,,,,,,,,07/01/1993,,,,,,, Policeman,
Police Headquarters,,1199,N,Manhattan,,,2,1,CENTRE AND LAFAYETTE STS,Y,1923,,,,,bronze,,,,,purchase,,,07/01/1993,,,,,,,,
police headquarters (old),,1200,N,Manhattan,,,2,1,CENTRE AND LAFAYETTE STS,Y,1924,,tablet,,,thomas e. o'brien,,,,,"purchase, $1500",,,07/01/1993,,,,,,,,
police headquarters (old),,1201,N,Manhattan,,,2,1,CENTRE AND LAFAYETTE ST,Y,1909,,tablet,,,bronze,,,,hoppin and hoen,"purchase, $1200",,,07/01/1993,,,,,,,,
Police Headquarters Honor Roll,,1202,N,Manhattan,,,2,1,CENTRE AND LAFAYETTE ST.,Y,1923,,Mosaic and bronze,,,Mosaic and bronze,,,,,"purchase, $5000.",,,07/01/1993,,,,,,,,
police headquarters monument list,,1203,N,Manhattan,,,0,0,,Y,,,,,,,,,,,,,,07/01/1993,,,,,,,,"POLICE HALL TABLET / RHINELANDER BUILDING COLUMNS (5) / SUGAR HOUSE - PRISON WINDOW / TONY ROSENTHAL SCULPTURE ""FIVE IN ONE"" "
police mall tablet,,1204,N,Manhattan,,,1,1,POLICE HEADQUARTERS; exterior brick wall,Y,"July 24, 1973",,,,,bronze,,,,,,,,07/01/1993,,,,,,,,"THIS MALL IS IN TRIBUTE TO / THE VALIANT POLICE OFFICERS / WHO SERVE THE PEOPLE OF OUR CITY / AND IN THEIR HONOR ITS USE / IS DEDICATED TO / THE MUNICIPAL EMPLOYEES OF / THE CITY OF NEW YORK/ JOHN V. LINDSAY, MAYOR / JULY 24, 1973/  "
Police Officer Jose A. Perez Plaque,"Perez, Jose A.",1820,Y,Brooklyn,Prospect Park,B073,0,39,"3rd Street entrance, north side",Y,ca. 1994,ca. 1994,Plaque set in pavement,"L: 1' W: 10""",,Bronze,,,,,,,,10/05/1999,,,Y         ,,,, Policeman,"DEDICATED TO THE MEMORY / OF / P.O. JOSE A. PEREZ / WHO ON APRIL 27, 1994 / DIED IN THE LINE OF DUTY / WHILE PROTECTING THE / RESIDENTS OF BROOKLYN."
Police World's Fair,,1205,Y,Queens,Flushing Meadows / Corona Park,Q099,15,21,Queens Museum of Art (formerly the New York City Building),Y,1964,,Tablet on plinth,"H: 30"" W: 35 ½""",,Bronze,,,Walter Beretta,,Police Department,,,07/01/1993,,,Y         ,,,$700, Policeman,"THIS PLAQUE IS DEDICATED TO THE/ MEMORY OF DETECTIVES/ JOSEPH J. LYNCH AND FERDINAND A. SOCHA / BOMB AND FORGERY SQUAD / WHO WERE KILLED IN THE LINE OF DUTY / WHILE EXAMINING A TIME BOMB TAKEN FROM / THE BRITISH PAVILION OF THE WORLD'S FAIR / IN FLUSHING MEADOW PARK AT 4:45 PM ON  / JULY 4, 1940. / "
Polly Gordon Walk,,2137,Y,Manhattan,,M081,8,5,near park entrance at East 84th Street,Y,1984,,Cutout silhouette of woman watering flowers and name on pole,"overall= 9' 5"" h, sign= 3' h, 2' l",,"Iron and steel, painted semi-gloss black",,P.A. Fiebiger Artisans in Metal,,GN Associates,Mr. Albert Gordon,,,,,,Y         ,,,"10,000.00", Women,
potters field civil war marker,,1214,N,the Bronx,,,10,13,"HART ISLAND, EAST SIDE; e. road into potters field",Y,"May 30, 1877",,marker/ incised letters,"12 ½'h x 40""w x 40""d",,"concrete, marble, grnite base",,,,,"reno pst. #11, n.y.g.a.r.",,,07/01/1993,,,,,,,,"FRONT: IN / MEMORIAM / ERECTED BY / RENO POST NO 11 / DEPT OF N.Y.G.A.R. / TO THE MEMORY OF / VETERAN UNION SOLDIERS / AND SAILORS / MAY 30TH 1877 / HONOR THE BRAVE/  BACK MARBLE: THE REMAINS OF THESE / VETERAN UNION SOLDIERS / AND SAILORS / WERE DISINTERRED ON / JUNE 9, 1941 / AND REINTERRED IN THE / CYPRESS HILLS / NATIONAL CEMETERY/  "
potters field monument,,1215,N,the Bronx,,,10,13,NORTHERN TIP OF HART ISLAND,Y,1948,,"stele, relief plaque","11 ¼"" x 29¾"" x 1""d",,"concrete, bronze plaque",,,,,,,,07/01/1993,,,,,,,,1948 / MAYOR WILLIAM O'DWYER / COMM. ALBERT WILLIAMS /   N. ON SHAFT: PEACE E.&W. A CROSS STELE: 40'H
"powers, robert grey",,1218,N,Brooklyn,,,1,34,"P.S. 54; sanford st, willoughby and pulaski st",Y,1926,,tablet,,,bronze,,,maxfield keck,,teachers of school,,,07/01/1993,,,,,,,,
Pratt and White Memorial Plaque,,1219,Y,Brooklyn,Marine Park Bklyn,B057,14,32,"Entrance to Carmine Carro field house, exterior wall to right of entrance",Y,1939,,Plaque,"H: 2' W: 1'4""",,Bronze,,,,,,,,07/01/1993,,,Y         ,,,,,IN APPRECIATION OF / THE FORESIGHT OF / FREDERIC B. PRATT / ALFRED T. WHITE / WHO ASSEMBLED / THE LAND AROUND / GERRITSEN BASIN / AND  GAVE IT TO THE / CITY FOR A PARK. / THIS GIFT WAS THE / BEGINNING OF/  MARINE PARK. / ERECTED BY THE LEAGUE FOR THE / IMPROVEMENT OF MARINE  PARK / 1939/
Printing,Printing,1221,N,Manhattan,,,0,0,"Surrogate's Court/Hall of Records, 31 Chambers Street, Reade Street elevation, chief cornice, third from left",Y,1905,ca. 1905,male figure (heroic scale),,,Westerly granite,,,Philip Martiny,Horgan and Slattery,"$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,07/01/1993,,,,,,,,
Prison Ship Martyrs Monument,Prison Ship Martyrs Monument,1222,Y,Brooklyn,Fort Greene Park,B032,2,35,"Myrtle to Dekalb Avenues, Edwards and Cumberland Streets",Y,"November 14, 1908",1908,"Doric column surmounted by a bronze urn, on a terrace approached by 100 steps; eagles at corners of terrace; plaque and tablet","Column H: 114' D: 17'6"",  Total H: 143'",,"Bronze, Deer Isle granite",,,Adolph Alexander Weinman,Stanford White,,,,07/01/1993,,,Y         ,,,"$190,000"," Revolutionary War, War Memorial","IN THE NAME OF THE SPIRITS OF THE DEPARTED FREE / SACRED TO THE MEMORY OF THAT PORTION OF AMERICAN SEAMEN, SOLDIERS / ON BOARD THE PRISON SHIPS OF THE BRITISH DURING THE REVOLUTIONARY / WAR AT THE WALL ABOUT.  THIS IS THE CORNERSTONE OF THE VAULT / WHICH CONTAINS THEIR RELICS. ERECTED BY THE TAMMANY SOCIETY/OF THE COLUMBIAN ORDER OF THE CITY OF NEW YORK. THE GROUND FOR / WHICH WAS BESTOWED BY JOHN JACKSON, NASSAU ISLAND, SEASON OF/BLOSSOMS, YEAR OF DISCOVERY, THE 316TH. OF THE INSTITUTION THE 19TH AND OF AMERICAN INDEPENDENCE THE 32ND, APRIL THE 6TH, 1808./  JACOB VANDERVOORT / JOHN JACKSON / BURDET STRYKER / ISAACHER COZZENS / ROBERT TOWNSEND / BENJAMIN WATSON / SAMUEL COWDRY / WILLIAM AND DAVID CAMPBELL - BUILDER WALL ABOUT COMMITTEE/  TABLET OVER ENTRANCE TO TOMB.  ORIGINALLY CORNERSTONE OF A VAULT IN NAVY YARD, CONTAINING BONES OF 11,000 PATRIOTS. ERECTED IN NAVY YARD BY TAMMANY SOCIETY.  FORT GREENE PARK OPENED 1849 THROUGH EFFORTS OF WALT WHITMAN, EDITOR OF BROOKLYN EAGLE.  ORIGINALLY CALLED RAYMOND PAR..."
Prison Window,,1223,Y,the Bronx,Van Cortlandt Park,X092,0,11,East of Van Cortlandt house,Y,,,Ruins of old prison with tablet,"H: 2'1"" W: 3'1""",,"Holland brick, Holland stone, slate",,,,,Gift of T.J. Oakely Rhinelander and Colonial  Dames of N.Y. State,,,07/01/1993,,,,,,," Revolutionary War, War Memorial",PRISON WINDOW BUILT OF HOLLAND BRICK AND STONE / FROM THE OLD SUGAR HOUSE DUANE STREET / 1763-1892 / BY THE BRITISH A PRISON FOR  AMERICAN SOLDIERS / 1776-1783 / CUNNINGHAM PROVOST MARSHAL/ PRESENTED BY T.J. OAKLEY RHINELANDER ESQ. / THE COLONIAL DAMES OF THE STATE OF NEW YORK/
Private David W. Gentle Memorial Flagstaff,"Gentle, David W.",580,Y,the Bronx,Graham Square Park,X023,1,17,"East 139th Street, Morris Avenue, and Third Avenue",Y,1950,1950,Flagstaff set in a hexagonal base with a sloped tablet beside it,"Tablet H: 12"" W: 28"" D: 32""",,Base--concrete; Tablet--granite (rough cut),,,,,"D.W. Gentle Post No. 618, American Legion",,,07/01/1993,,,Y         ,,,," World War I, War Memorial","IN MEMORY / OF / PVT. DAVID W. GENTLE / 107TH INF. U.S. ARMY / BORN OCT. 28, 1895 / KILLED IN ACTION / OCT. 14, 1918 / ERECTED BY / DAVID W. GENTLE POSTNO. 618 / AMERICAN LEGION / 1950 /"
Private First Class Nicholas De Matti,"de matti, pfc. Nicholas",369,Y,Staten Island,Nicholas De Matti Playground,R035,1,49,Tomkins Ave. at Chestnut Ave.; NOT LOCATED 9/05,M,1934,,Tablet on wall,,,Bronze,,,,,,,,07/01/1993,,,,,,," World War I, War Memorial",
